1,1
2,2
3,6
4,24
5,120
6,720
7,5040
8,40320
9,362880
10,3628800
11,39916800
12,479001600
13,6227020800
14,87178291200
15,1.30767E+12
16,2.09228E+13
17,3.55687E+14
18,6.40237E+15
19,1.21645E+17
20,2.4329E+18
21,5.10909E+19
22,1.124E+21
23,2.5852E+22
24,6.20448E+23
25,1.55112E+25
26,4.03291E+26
27,1.08889E+28
28,3.04888E+29
29,8.84176E+30
30,2.65253E+32
31,8.22284E+33
32,2.63131E+35
33,8.68332E+36
34,2.95233E+38
35,1.03331E+40
36,3.71993E+41
37,1.37638E+43
38,5.23023E+44
39,2.03979E+46
40,8.15915E+47
41,3.34525E+49
42,1.40501E+51
43,6.04153E+52
44,2.65827E+54
45,1.19622E+56
46,5.50262E+57
47,2.58623E+59
48,1.24139E+61
49,6.08282E+62
50,3.04141E+64
